goodForGroups,city,state,stars,open,alcohol,noiseLevel,attire,priceRange,delivery,waiterService,smoking,outdoorSeating,caters,goodForKids
1,Paradise Valley,AZ,4,TRUE,full_bar,quiet,dressy,3,FALSE,TRUE,,TRUE,FALSE,FALSE
1,Gilbert,AZ,3.5,TRUE,none,average,casual,1,FALSE,FALSE,,TRUE,TRUE,TRUE
1,Pittsburgh,PA,4,TRUE,none,,casual,2,,,,,,
1,Henderson,NV,4,FALSE,none,average,casual,1,,,,FALSE,,
0,Surprise,AZ,1.5,TRUE,none,,casual,1,TRUE,FALSE,,FALSE,FALSE,
0,Las Vegas,NV,2,TRUE,none,,,1,FALSE,,,,,
0,Charlotte,NC,4,TRUE,none,,,1,,,,,,
1,Tempe,AZ,3.5,TRUE,full_bar,quiet,casual,2,FALSE,TRUE,,TRUE,,
0,Avondale,AZ,4,TRUE,none,average,,1,,FALSE,,,FALSE,
1,Phoenix,AZ,4,FALSE,none,,casual,1,FALSE,,outdoor,TRUE,,
1,Chandler,AZ,3.5,TRUE,none,quiet,casual,1,TRUE,FALSE,,FALSE,TRUE,
1,Las Vegas,NV,3.5,TRUE,none,quiet,casual,2,,,,FALSE,FALSE,
0,Montreal,QC,4.5,TRUE,none,,,2,,,,,,
1,Charlotte,NC,3.5,TRUE,full_bar,average,casual,2,FALSE,FALSE,,FALSE,TRUE,
1,Gilbert,AZ,4,TRUE,none,average,casual,1,FALSE,TRUE,,TRUE,,
0,Mesa,AZ,3,FALSE,none,,,,,,,,,
1,Las Vegas,NV,4,TRUE,none,quiet,casual,2,FALSE,TRUE,,FALSE,TRUE,
0,Madison,WI,3.5,TRUE,none,,,2,,,,,,
1,Mesa,AZ,2.5,TRUE,full_bar,average,casual,1,FALSE,TRUE,outdoor,TRUE,,
1,Pittsburgh,PA,4.5,TRUE,none,,,2,,,yes,TRUE,,
0,Urbana,IL,3,TRUE,none,,,3,,,,TRUE,,
1,Montreal,QC,4,TRUE,full_bar,average,casual,1,FALSE,FALSE,,FALSE,FALSE,
